family,feature_set_id,feature_set_label,features,target_id,target,target_title,model,model_label,validation,n,mae,rmse,r2
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,RandomForest,Random forest,External validation,8,0.16253531050771342,0.2561394732718644,0.466000721893727
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,GradientBoosting,Gradient boosting,Internal balanced 5-fold CV,30,0.10356023569778909,0.14215263361771716,0.9330427672270932
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,GradientBoosting,Gradient boosting,External validation,8,0.16316422138759673,0.23871576188675267,0.5361796100530553
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,9.733756774303242,11.728922648682799,0.9083568597912737
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,23.109610212409294,25.608993485259607,-0.3198134609397816
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,11.053818872738086,14.40045314564672,0.8618547251729999
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,KernelRidge_RBF,KRR-RBF,External validation,8,24.589877529482074,28.10303670040175,-0.5894030250463034
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,20.252202511528232,24.6978761821963,0.5936475000739863
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,SVR_RBF,SVR-RBF,External validation,8,18.050341385993597,20.38243762320815,0.16393551022892094
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,Ridge,Ridge,Internal balanced 5-fold CV,30,11.39741969730525,13.646746016348125,0.8759370980504553
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,Ridge,Ridge,External validation,8,19.65830403127061,22.220601666745953,0.006336899985837641
